Product Name,Launch Year,Status,What it does?,Companies,Team Size,Budget Usage (%),Issues Reported,Risk Level,Outcome,Budget ($K),Sprint Velocity,Burn-down Score,Adoption,Retention,Churn,Bug Severity Score,Deployment Frequency,OPEX/CAPEX,Forecast Accuracy,Encoded labels,Synthetic correlations
Google Classroom,2014,Active,Online learning platform for schools,Google,5,107,5,Medium,Delayed,3079,50,75,128.4,90,10,7.5,2,3.079,93,1,25
Google Earth,2001,Active,"Virtual globe, map, and geographical information",Google,9,93,6,Low,Delayed,1897,90,70,111.6,88,12,9,4,1.897,93,1,54
Google Translate,2006,Active,Language translation service,Google,18,94,3,High,On Track,4490,180,85,112.8,94,6,4.5,9,4.49,94,2,54
Google Photos,2015,Active,Photo and video storage and sharing,Google,18,81,13,Low,On Track,4109,180,35,97.2,74,26,19.5,9,4.109,81,2,234
Google News,2002,Active,News aggregator,Google,19,94,10,Low,On Track,4950,190,50,112.8,80,20,15,9,4.95,94,2,190
Google Fit,2014,Active,Health tracking platform,Google,4,110,13,High,On Track,1494,40,35,132,74,26,19.5,2,1.494,90,2,52
Google Pay,2011 (as Google Wallet),Active,Digital wallet and payment service,Google,3,96,13,Low,On Track,4381,30,35,115.2,74,26,19.5,1,4.381,96,2,39
Google Trends,2006,Active,Search trends analysis,Google,18,70,13,Medium,Delayed,1369,180,35,84,74,26,19.5,9,1.369,70,1,234
Google Analytics,2005,Active,Web analytics service,Google,14,85,14,Low,On Track,4832,140,30,102,72,28,21,7,4.832,85,2,196
Google AdWords (rebranded as Google Ads),2000,Active,Online advertising platform,Google,7,68,7,High,Delayed,3814,70,65,81.6,86,14,10.5,3,3.814,68,1,49
Google Cloud Platform,2008,Active,Cloud computing services,Google,7,69,6,Low,On Track,629,70,70,82.8,88,12,9,3,0.629,69,2,42
Google Nest,2011 (as Nest Labs),Active,Smart home products,Google,11,106,8,High,Critical,3723,110,60,127.2,84,16,12,5,3.723,94,0,88
Google Workspace,2006 (as Google Apps),Active,"Suite of cloud computing, productivity, and collaboration tools",Google,11,67,6,Medium,Delayed,3058,110,70,80.4,88,12,9,5,3.058,67,1,66
Douyin (TikTok in international markets),2016,Active,Short-form video platform,Byte Dance,5,96,2,Low,Critical,3014,50,90,115.2,96,4,3,2,3.014,96,0,10
Toutiao (Today's Headlines),2012,Active,News and information platform,Byte Dance,18,98,2,Medium,Delayed,4989,180,90,117.6,96,4,3,9,4.989,98,1,36
Xigua Video (TopBuzz Video),2016,Active,Short-form video and news platform,Byte Dance,18,63,14,High,Critical,3691,180,30,75.6,72,28,21,9,3.691,63,0,252
Helo,2018,Active,Social media platform for global markets,Byte Dance,5,64,7,Low,On Track,2247,50,65,76.8,86,14,10.5,2,2.247,64,2,35
Vigo Video (Flipagram),2017,Merged with TikTok,Short-form video platform,Byte Dance,3,80,4,Low,On Track,4673,30,80,96,92,8,6,1,4.673,80,2,12
Jinri Toutiao (TouTiao),2012,Active,News and content aggregator,Byte Dance,13,50,3,Low,On Track,3469,130,85,60,94,6,4.5,6,3.469,50,2,39
Douyin Huoshan,2018,Active,Short-form video app,Byte Dance,19,103,7,Medium,Delayed,1039,190,65,123.6,86,14,10.5,9,1.039,97,1,133
Douyin Xigua,2020,Active,Short-form video app,Byte Dance,10,52,14,Medium,Critical,625,100,30,62.4,72,28,21,5,0.625,52,0,140
Feishu (Lark in international markets),2018,Active,Collaboration and productivity platform,Byte Dance,6,65,5,Medium,On Track,101,60,75,78,90,10,7.5,3,0.101,65,2,30
Douyin Pipixia,2020,Active,Short-form video app,Byte Dance,8,106,1,Low,Critical,474,80,95,127.2,98,2,1.5,4,0.474,94,0,8
Xigua Qutoutiao,2015,Active,News and content aggregator,Byte Dance,10,61,3,Low,Critical,2440,100,85,73.2,94,6,4.5,5,2.44,61,0,30
TopBuzz,2015,Merged with TikTok,Content discovery platform,Byte Dance,5,65,11,Medium,On Track,4105,50,45,78,78,22,16.5,2,4.105,65,2,55
News Republic,2008,Acquired by ByteDance in 2017,News aggregator,Byte Dance,18,73,10,Low,On Track,3152,180,50,87.6,80,20,15,9,3.152,73,2,180
BaBe (Acquired by ByteDance),2016,Acquired,Indonesian news aggregator,Byte Dance,5,77,3,Low,Critical,4748,50,85,92.4,94,6,4.5,2,4.748,77,0,15
Huoshan Video,2017,Discontinued,Short-form video app,Byte Dance,16,57,14,High,On Track,2465,160,30,68.4,72,28,21,8,2.465,57,2,224
Flipchat,2017,Discontinued,Video chat app,Byte Dance,4,85,5,Medium,On Track,1625,40,75,102,90,10,7.5,2,1.625,85,2,20
Hypstar (Vigo Video),2016,Merged with TikTok,Short-form video app,Byte Dance,5,57,5,Medium,On Track,4576,50,75,68.4,90,10,7.5,2,4.576,57,2,25
Ulike,2017,Active,Beauty and makeup app,Byte Dance,18,107,0,High,Delayed,1746,180,100,128.4,100,0,0,9,1.746,93,1,0
CapCut (Viamaker),2018,Active,Video editing app,Byte Dance,11,109,13,Medium,Critical,113,110,35,130.8,74,26,19.5,5,0.113,91,0,143
Lark Meetings,2019,Active,Video conferencing and collaboration app,Byte Dance,6,99,7,High,Critical,4699,60,65,118.8,86,14,10.5,3,4.699,99,0,42
FaceU,2016,Active,Augmented reality (AR) photo and video app,Byte Dance,3,77,5,Low,Delayed,2378,30,75,92.4,90,10,7.5,1,2.378,77,1,15
Xigua Guoke,2020,Active,Knowledge-sharing platform,Byte Dance,6,90,2,Low,Critical,3255,60,90,108,96,4,3,3,3.255,90,0,12
Worktrans,2018,Active,HR and workplace management platform,Byte Dance,3,113,13,Low,On Track,229,30,35,135.6,74,26,19.5,1,0.229,87,2,39
Volcano Engine,2019,Active,Real-time 3D rendering engine,Byte Dance,16,76,8,Low,Critical,3914,160,60,91.2,84,16,12,8,3.914,76,0,128
Watermelon Video,2017,Active,Short-form video app,Byte Dance,18,112,1,Medium,On Track,3316,180,95,134.4,98,2,1.5,9,3.316,88,2,18
BytePlus,2019,Active,AI-driven content recommendation platform,Byte Dance,10,66,14,Low,Delayed,3038,100,30,79.2,72,28,21,5,3.038,66,1,140
Pipixia,2016,Active,News and content aggregator,Byte Dance,9,82,10,Low,On Track,4028,90,50,98.4,80,20,15,4,4.028,82,2,90
Baidu Search,2000,Active,Search engine,Baidu,5,78,7,Low,Critical,2140,50,65,93.6,86,14,10.5,2,2.14,78,0,35
Baidu Maps,2005,Active,Mapping and navigation,Baidu,19,62,9,Low,Critical,127,190,55,74.4,82,18,13.5,9,0.127,62,0,171
Baidu Baike (Baidu Encyclopedia),2006,Active,Chinese-language online encyclopedia,Baidu,3,95,2,Medium,Critical,2213,30,90,114,96,4,3,1,2.213,95,0,6
Baidu Cloud,2012,Active,Cloud storage and services,Baidu,18,84,12,Low,Delayed,1352,180,40,100.8,76,24,18,9,1.352,84,1,216
Baidu Tieba,2003,Active,Online community and forum platform,Baidu,14,55,11,Medium,Delayed,4456,140,45,66,78,22,16.5,7,4.456,55,1,154
Baidu Zhidao (Baidu Knows),2005,Active,Question-and-answer platform,Baidu,16,118,4,Low,Critical,2146,160,80,141.6,92,8,6,8,2.146,82,0,64
Baidu Pan (Baidu Cloud Drive),2012,Active,Cloud storage service,Baidu,8,96,5,Medium,On Track,4655,80,75,115.2,90,10,7.5,4,4.655,96,2,40
Baidu Wangpan (Baidu Netdisk),2012,Active,File hosting and sharing service,Baidu,8,74,9,High,Delayed,4123,80,55,88.8,82,18,13.5,4,4.123,74,1,72
Baidu Video,2012,Active,Video hosting and streaming service,Baidu,15,115,5,Low,Critical,4496,150,75,138,90,10,7.5,7,4.496,85,0,75
Baidu Image Search,2011,Active,Image search engine,Baidu,10,59,3,Medium,Critical,3474,100,85,70.8,94,6,4.5,5,3.474,59,0,30
Baidu News,2005,Active,News aggregator,Baidu,4,105,2,Low,Delayed,3566,40,90,126,96,4,3,2,3.566,95,1,8
Baidu Wenku (Baidu Library),2009,Active,Online document sharing platform,Baidu,3,79,3,Low,Delayed,3181,30,85,94.8,94,6,4.5,1,3.181,79,1,9
Baidu Baijiahao,2016,Active,Content creation and publishing platform,Baidu,17,54,0,High,Delayed,3878,170,100,64.8,100,0,0,8,3.878,54,1,0
Baidu Yun (Baidu Cloud),2013,Active,Cloud computing and artificial intelligence services,Baidu,3,82,3,Low,On Track,729,30,85,98.4,94,6,4.5,1,0.729,82,2,9
Baidu Mobile Assistant,2010,Active,Android app store,Baidu,7,114,0,Low,On Track,369,70,100,136.8,100,0,0,3,0.369,86,2,0
Baidu Translate,2014,Active,Language translation service,Baidu,18,67,11,Medium,Critical,2739,180,45,80.4,78,22,16.5,9,2.739,67,0,198
Baidu Input Method,2008,Active,Chinese and English input method for mobile devices,Baidu,6,98,14,Low,Delayed,2093,60,30,117.6,72,28,21,3,2.093,98,1,84
Baidu Wallet,2014,Active,Mobile payment and financial services,Baidu,5,60,0,High,On Track,2991,50,100,72,100,0,0,2,2.991,60,2,0
Baidu Tieba (Mobile),2008,Active,Mobile version of Baidu Tieba online community,Baidu,19,75,9,Low,Delayed,3532,190,55,90,82,18,13.5,9,3.532,75,1,171
Baidu Haokan,2018,Active,Short-form video platform,Baidu,19,112,13,High,Critical,1380,190,35,134.4,74,26,19.5,9,1.38,88,0,247
Baidu DuerOS,2015,Active,Conversational AI platform,Baidu,14,108,5,Medium,On Track,2460,140,75,129.6,90,10,7.5,7,2.46,92,2,70
Apollo (Baidu Apollo),2017,Active,Autonomous driving platform,Baidu,16,76,4,Medium,On Track,675,160,80,91.2,92,8,6,8,0.675,76,2,64
Baidu Cloud Intelligent Speech,2014,Active,Speech recognition and synthesis technology,Baidu,8,98,13,High,On Track,1407,80,35,117.6,74,26,19.5,4,1.407,98,2,104
Baidu Facial Recognition,2015,Active,Facial recognition technology,Baidu,5,82,10,Low,Critical,3292,50,50,98.4,80,20,15,2,3.292,82,0,50
Baidu Cloud AI Open Platform,2016,Active,Artificial intelligence (AI) development platform,Baidu,11,50,14,High,Delayed,3278,110,30,60,72,28,21,5,3.278,50,1,154
Baidu Maps (International),2010,Active,International version of Baidu Maps,Baidu,7,70,3,Low,On Track,2834,70,85,84,94,6,4.5,3,2.834,70,2,21
Baidu Baike (International),2006,Active,International version of Baidu Baike (Baidu Encyclopedia),Baidu,19,104,12,Low,Critical,2312,190,40,124.8,76,24,18,9,2.312,96,0,228
Baidu Wallet (International),2016,Active,International version of Baidu Wallet,Baidu,16,55,10,Low,Delayed,2452,160,50,66,80,20,15,8,2.452,55,1,160
Baidu Music,2011,Active,Music streaming service,Baidu,5,118,2,Medium,Critical,3668,50,90,141.6,96,4,3,2,3.668,82,0,10
Baidu Knows (International),2005,Active,International version of Baidu Zhidao (Baidu Knows),Baidu,3,54,0,Low,Delayed,1755,30,100,64.8,100,0,0,1,1.755,54,1,0
Baidu Encyclopedia (International),2010,Active,International version of Baidu Baike (Baidu Encyclopedia),Baidu,3,52,5,High,Critical,1679,30,75,62.4,90,10,7.5,1,1.679,52,0,15
Macintosh,1984,Active,Personal computer,Apple,5,102,1,High,Delayed,2303,50,95,122.4,98,2,1.5,2,2.303,98,1,5
iPhone,2007,Active,Smartphone,Apple,12,72,7,High,On Track,1490,120,65,86.4,86,14,10.5,6,1.49,72,2,84
iPad,2010,Active,Tablet computer,Apple,5,102,9,Low,Delayed,1842,50,55,122.4,82,18,13.5,2,1.842,98,1,45
MacBook Air,2008,Active,Lightweight laptop,Apple,10,86,4,Medium,Critical,2025,100,80,103.2,92,8,6,5,2.025,86,0,40
MacBook Pro,2006,Active,High-performance laptop,Apple,16,66,6,Low,Critical,719,160,70,79.2,88,12,9,8,0.719,66,0,96
iMac,1998,Active,All-in-one desktop computer,Apple,17,50,9,Low,Delayed,1374,170,55,60,82,18,13.5,8,1.374,50,1,153
Mac Pro,2006,Active,High-end desktop computer,Apple,4,100,11,Low,On Track,1056,40,45,120,78,22,16.5,2,1.056,100,2,44
iPod,2001,Discontinued,Portable media player,Apple,12,94,1,Low,On Track,2039,120,95,112.8,98,2,1.5,6,2.039,94,2,12
iTunes (discontinued),2001,Discontinued,"Media player, media library, and online store",Apple,4,53,12,Medium,,4053,40,40,63.6,76,24,18,2,4.053,53,1,48
Apple Watch,2015,Active,Smartwatch with health and fitness features,Apple,19,111,7,Medium,Delayed,2481,190,65,133.2,86,14,10.5,9,2.481,89,1,133
Apple TV,2007,Active,Digital media player and streaming device,Apple,10,114,1,Low,Critical,1068,100,,136.8,98,2,1.5,5,1.068,86,0,10
AirPods,2016,Active,Wireless earbuds,Apple,3,81,3,Low,On Track,1416,30,85,97.2,94,6,4.5,1,1.416,81,2,9
HomePod,2018,Discontinued,Smart speaker with virtual assistant,Apple,11,83,0,Low,Delayed,1143,110,100,99.6,100,0,0,5,1.143,83,1,0
Apple Music,2015,Active,Music streaming service,Apple,13,88,14,Low,On Track,381,130,30,105.6,72,28,21,6,0.381,88,2,182
Apple Pay,2014,Active,Mobile payment and digital wallet service,Apple,18,75,4,High,Delayed,2944,180,80,90,92,8,6,9,2.944,75,1,72
Apple Card,2019,Active,Credit card issued by Apple,Apple,9,83,8,Low,Delayed,1158,90,60,99.6,84,16,12,4,1.158,83,1,72
macOS (formerly OS X),2001,Active,Operating system for Mac computers,Apple,12,103,0,Low,On Track,4393,120,100,123.6,100,0,0,6,4.393,97,2,0
iOS,2007,Active,"Operating system for iPhone, iPad, and iPod Touch",Apple,5,52,8,Low,Delayed,2632,50,60,62.4,84,16,12,2,2.632,52,1,40
iPadOS,2019,Active,Operating system specifically for iPad,Apple,15,99,10,High,Delayed,3928,150,50,118.8,80,20,15,7,3.928,99,1,150
watchOS,2015,Active,Operating system for Apple Watch,Apple,9,61,14,High,Critical,1108,90,30,73.2,72,28,21,4,1.108,61,0,126
tvOS,2015,Active,Operating system for Apple TV,Apple,6,114,7,Medium,Delayed,1329,60,65,136.8,86,14,10.5,3,1.329,86,1,42
Safari,2003,Active,Web browser,Apple,15,103,5,Medium,Delayed,1135,150,75,123.6,90,10,7.5,7,1.135,97,1,75
iWork,2005,Active,"Productivity suite including Pages, Numbers, and Keynote",Apple,3,54,6,Medium,Delayed,4685,30,70,64.8,88,12,9,1,4.685,54,1,18
iLife (discontinued),2003,Discontinued,"Suite of multimedia software (iPhoto, iMovie, GarageBand)",Apple,10,106,2,Low,Critical,375,100,90,127.2,96,4,3,5,0.375,94,0,20
Final Cut Pro,1999,Active,Video editing software,Apple,16,66,13,High,On Track,2840,160,35,79.2,74,26,19.5,8,2.84,66,2,208
Logic Pro,1990,Active,Digital audio workstation,Apple,18,96,14,Medium,Critical,2389,180,30,115.2,72,28,21,9,2.389,96,0,252
GarageBand,2004,Active,Music creation software,Apple,16,72,0,Medium,Critical,1339,160,100,86.4,100,0,0,8,1.339,72,0,0
iCloud,2011,Active,Cloud storage and cloud computing service,Apple,14,63,4,Medium,On Track,225,140,80,75.6,92,8,6,7,0.225,63,2,56
App Store,2008,Active,Digital distribution platform for software on iOS,Apple,17,115,13,Medium,Critical,4165,170,35,138,74,26,19.5,8,4.165,85,0,221
Apple News,2015,Active,News aggregator and digital newsstand,Apple,4,100,11,Medium,On Track,4412,40,45,120,78,22,16.5,2,4.412,100,2,44
Apple Fitness+,2020,Active,Fitness service with guided workouts,Apple,4,87,11,High,Critical,3968,40,45,104.4,78,22,16.5,2,3.968,87,0,44
Apple Arcade,2019,Active,Game subscription service,Apple,19,113,1,High,On Track,1308,190,95,135.6,98,2,1.5,9,1.308,87,2,19
Apple One,2020,Active,Bundle of Apple's subscription services,Apple,12,87,13,Medium,Delayed,3349,120,35,104.4,74,26,19.5,6,3.349,87,1,156
Apple Silicon,2020,Active,Transition from Intel processors to Apple-designed processors for Macs,Apple,8,99,4,Medium,Critical,1018,80,80,118.8,92,8,6,4,1.018,99,0,32
AirTag,2021,Active,Item tracker using the Find My network,Apple,17,79,7,Low,Critical,4023,170,65,94.8,86,14,10.5,8,4.023,79,0,119
Apple Podcasts,2005,Active,Podcast directory and streaming service,Apple,13,100,10,Medium,Critical,4503,130,50,120,80,20,15,6,4.503,100,0,130
MagSafe,2006,Active,Proprietary magnet-based charging technology,Apple,7,112,8,Low,Critical,2069,70,60,134.4,84,16,12,3,2.069,88,0,56
